specie	formula	sistema_xx	status	sottogruppo	gruppo	supergruppo	famiglia	sottoclasse	classe
Maohokite	MgFe3+2O4	Orthorhombic	Approved		marokite	marokite	copper		oxides
Maoniupingite-(Ce)	(Ce,Ca)4(Fe3+Ti,Fe2+,?)(Ti,Fe3+,Fe2+,Nb)4O8(Si2O7)2	Monoclinic	Approved		chevkinite	chevkinite	copper	sorosilicates	"silicates 
[cluster]"
Mapimite	Zn2Fe3+3(AsO4)3(OH)4·10H2O	Monoclinic	Approved		mapimite			arsenates	phosphates, arsenates, vanadates
Mapiquiroite	(Sr,Pb)(U,Y)Fe2+2(Ti,Fe3+)18O38	Trigonal	Approved		mapiquiroite				oxides
Marathonite	Pd25Ge9	Trigonal	Approved	marathonite	palladosilicide	barringerite		metal carbides, silicides, nitrides and phosphides	elements
Marcasite	Fe2+S2	Orthorhombic	Grandfathered		marcasite	marcasite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Marchettiite	(NH4)C5H3N4O3	Triclinic	Approved		marchettiite			unclassified organic compounds	organic compounds
Marcobaldiite	Pb12(Sb2As3Bi)?6S21	Triclinic	Approved		marcobaldiite	geocronite	copper	sulfosalts	sulfides and sulfosalts
Marécottite	Mg3[(UO2)4O3(OH)(SO4)2]2(H2O)28	Triclinic	Approved		zippeite			uranyl sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Margarite	Ca(Al2?)(Al2Si2)O10(OH)2	Monoclinic	Approved	margarite	dioctahedral mica	mica		phyllosilicates	"silicates 
[sheet]"
Margarosanite	PbCa2[Si3O9]	Triclinic	Grandfathered		margarosanite			cyclosilicates	"silicates 
[cluster]"
Mariakrite	[Ca4Al2(OH)12(H2O)4][Fe2+2S4]	Triclinic	Approved		mariakrite	hydrotalcite		hydroxides	oxides
Marialite	Na4(Si3Al9)O24Cl	Tetragonal	Grandfathered		scapolite			tektosilicates	"silicates 
[framework]"
Mari?ite	NaFe2+(PO4)	Orthorhombic	Approved		buchwaldite	chrysoberyl	copper	phosphates	phosphates, arsenates, vanadates
Maricopaite	(Pb7Ca2)[Al12Si36(O,OH)100]·n(H2O,OH)          (n = ~32)	Orthorhombic	Approved		mordenite	zeolite	copper	tektosilicates	"silicates 
[framework]"
Mariinskite	BeCr2O4	Orthorhombic	Approved		chrysoberyl	chrysoberyl	copper		oxides
Marinaite	Cu2Fe3+O2(BO3)	Monoclinic	Approved	ludwigite	ludwigite	ludwigite		monoborates	borates
Marinellite	(Na,K)42Ca6[Si36Al36O144](SO4)8Cl2·6H2O	Trigonal	Approved	davyne	cancrinite	cancrinite		tektosilicates	"silicates 
[framework]"
Markascherite	Cu3(MoO4)(OH)4	Monoclinic	Approved		markascherite	derriksite	copper	molybdates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Markcooperite	Pb2(U6+O2)Te6+O6	Monoclinic	Approved		markcooperite				oxides
Markeyite	Ca9(UO2)4(CO3)13(H2O)25·3H2O	Orthorhombic	Approved		liebigite			uranyl carbonates	carbonates and nitrates
Markhininite	TlBi(SO4)2	Triclinic	Approved		markhininite	mascagnite		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Marklite	Cu5(CO3)2(OH)6·6H2O	Monoclinic	Approved		marklite			carbonates	carbonates and nitrates
Marokite	CaMn3+2O4	Orthorhombic	Approved		marokite	marokite	copper		oxides
Marrite	AgPbAsS3	Monoclinic	Grandfathered		freieslebenite		copper	sulfosalts	sulfides and sulfosalts
Marrucciite	Hg3Pb16Sb18S46	Monoclinic	Approved		kobellite	kobellite	copper	sulfosalts	sulfides and sulfosalts
Marshite	CuI	Cubic	Grandfathered		nantokite	diamond	copper	iodides	halides
Marsturite	[NaCaMn2+3][Si5O14(OH)]	Triclinic	Approved	nambulite	babingtonite		5 chains pyroxenoid	inosilicates	"silicates 
[chain-ribbon]"
Marthozite	Cu2+[(UO2)3(SeO3)2O2]·8H2O	Orthorhombic	Approved		marthozite	guilleminite		uranyl selenites	oxides
Martinandresite	Ba2(Al4Si12O32)·10H2O	Orthorhombic	Approved		phillipsite	zeolite		tektosilicates	"silicates 
[framework]"
Martinite	(Na,?,Ca)12Ca4(Si,S,B)14B2O38(OH,Cl)2F2·4H2O	Triclinic	Approved		gyrolite	reyerite		phyllosilicates	"silicates 
[sheet]"
Martyite	Zn3(V5+2O7)(OH)2·2H2O	Hexagonal	Approved	martyite	volborthite		divanadates	polyphosphates, polyarsenates, polyvanadates	phosphates, arsenates, vanadates
Marumoite	Pb32As40S92	Monoclinic	Approved		sartorite	sartorite	copper	sulfosalts	sulfides and sulfosalts
Maruyamaite	K(Al2Mg)(Al5Mg)(BO3)3(Si6O18)(OH)3O	Trigonal	Approved	schorl	alkali tourmaline	tourmaline		cyclosilicates	"silicates 
[cluster]"
Masaitisite	KCu5O2(SeO3)2Cl3	Orthorhombic	Approved		masaitisite			arsenites, antimonites, bismuthites, sulfites, selenites, tellurites	oxides
Mascagnite	(NH4)2(SO4)	Orthorhombic	Grandfathered		mascagnite	mascagnite		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Maslovite	Pt[BiTe]	Cubic	Approved		cobaltite	pyrite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Massicot	Pb4+O	Orthorhombic	Grandfathered		massicot	litharge	copper		oxides
Masutomilite	K(LiAlMn2+)(AlSi3)O10F2	Monoclinic	Approved	phlogopite	trioctahedral mica	mica		phyllosilicates	"silicates 
[sheet]"
Masuyite	Pb[(U6+O2)3O3(OH)2]·3H2O	Monoclinic	Grandfathered		masuyite	becquerelite		uranyl hydroxides	oxides
Mathesiusite	K5(UO2)4(SO4)4(VO5)?4H2O	Tetragonal	Approved		mathesiusite			uranyl sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Mathewrogersite	Pb7Fe2+Al3GeSi12O36(OH,H2O)6	Trigonal	Approved		mathewrogersite			cyclosilicates	"silicates 
[cluster]"
Mathiasite	(K,Ba,Sr)(Zr,Fe)(Mg,Fe)2(Ti,Cr,Fe)18O38	Trigonal	Approved		lindsleyite				oxides
Matildite	AgBiS2	Trigonal	Approved		matildite		copper	sulfosalts	sulfides and sulfosalts
Matioliite	NaMgAl5(PO4)4(OH)6·2H2O	Monoclinic	Approved		dufrénite	dufrénite		phosphates	phosphates, arsenates, vanadates
Matlockite	PbFCl	Tetragonal	Grandfathered		matlockite		copper	oxyhalides, hydroxyhalides	halides
Matsubaraite	Sr4TiTi2Ti2O8(Si2O7)2	Monoclinic	Approved		perrierite	chevkinite	copper	sorosilicates	"silicates 
[cluster]"
Mattagamite	CoTe2	Orthorhombic	Approved		marcasite	marcasite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Matteuccite	NaH(SO4)·H2O	Monoclinic	Grandfathered		lecontite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Mattheddleite	Pb2+2Pb2+3(SiO4)1.5(SO4)1.5(Cl0.57OH0.43)	Hexagonal	Approved		ellestadite	apatite		nesosilicates	"silicates 
[cluster]"
Matthiasweilite	Pb2+Te4+O3	Triclinic	Approved		plumbotellurite			arsenites, antimonites, bismuthites, sulfites, selenites, tellurites	oxides
Matulaite	Fe3+Al7(PO4)4(PO3OH)2(OH)8(H2O)8·8H2O	Monoclinic	Redefined		matulaite			phosphates	phosphates, arsenates, vanadates
Matyhite	Ca9(Ca0.5?0.5)Fe2+(PO4)7?	Trigonal	Approved	merrillite	merrillite	cerite	copper	phosphates	phosphates, arsenates, vanadates
Maucherite	Ni11As8	Tetragonal	Grandfathered		maucherite			metal / metalloids alloys	sulfides and sulfosalts
Mauriziodiniite	(NH4)(As3+2O3)2I	Hexagonal	Approved	lucabindiite	lucabindiite			arsenites, antimonites, bismuthites, sulfites, selenites, tellurites	oxides
Maurogemmiite	Ti10Fe3O3	Hexagonal	Approved		meurogemmiite				oxides
Mavlyanovite	Mn5Si3	Hexagonal	Approved	xifengite	iron	iron		metal carbides, silicides, nitrides and phosphides	elements
Mawbyite	Pb[Fe3+xZn2-x]S=2(AsO4)2[(OH)x(H2O)2-x]2          (x: >1)	Monoclinic	Approved	lotharmeyerite	vauquelinite	vauquelinite		arsenates	phosphates, arsenates, vanadates
Mawsonite	Cu+12[Fe3+4Sn4+2]S16	Tetragonal	Approved		mawsonite		copper	sulfosalts	sulfides and sulfosalts
Maxwellite	NaFe3+(AsO4)F	Monoclinic	Approved		durangite	titanite		arsenates	phosphates, arsenates, vanadates
Mayingite	Ir[BiTe]	Cubic	Approved		cobaltite	pyrite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Mazorite	Ba3(PO4)2	Trigonal	Approved		tuite	palmierite		vanadates	phosphates, arsenates, vanadates
Mazzettiite	Ag3HgPbSbTe5	Orthorhombic	Approved		petrovicite		copper	sulfosalts	sulfides and sulfosalts
Mazzite-Mg	(Mg2.5K2Ca1.5)[Al10Si26O72]·30H2O	Hexagonal	Approved		mazzite	zeolite		tektosilicates	"silicates 
[framework]"
Mazzite-Na	Na8[Al8Si28O72]·30H2O	Hexagonal	Approved		mazzite	zeolite		tektosilicates	"silicates 
[framework]"
Mbobomkulite	NiAl4(NO3)2(OH)12·3H2O	Monoclinic	Approved		chalcoalumite			nitrates	carbonates and nitrates
Mcallisterite	Mg2[B6O7(OH)6]2·9H2O	Trigonal	Approved		aksaite			hexaborates	borates
Mcalpineite	Cu2+3Te6+O6	Cubic	Redefined		bixbyite		copper	tellurates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Mcauslanite	HFe2+3Al2(PO4)4F·18H2O	Triclinic	Approved		mcauslanite			phosphates	phosphates, arsenates, vanadates
Mcbirneyite	Cu2+Cu2+2(VO4)2	Triclinic	Approved		stranskiite	stranskiite		vanadates	phosphates, arsenates, vanadates
Mcconnellite	Cu+Cr3+O2	Trigonal	Approved	delafossite	delafossite		copper		oxides
Mccrillisite	NaCs(Be,Li)Zr2(PO4)4·1-2H2O	Tetragonal	Approved		gainesite			phosphates	phosphates, arsenates, vanadates
Mcgillite	Mn2+8Si6O15(OH)8Cl2	Monoclinic	Approved		friedelite	friedelite		phyllosilicates	"silicates 
[sheet]"
Mcgovernite	(Zn,Mn2+)3(Mn2+,Mg,Fe3+,Al)42[(As3+,Zn)O3]2(As5+O4)4[(Si,As5+)O4]8(OH)42	Trigonal	Grandfathered		mcgovernite	hematolite		arsenite-silicates	phosphates, arsenates, vanadates
Mcguinnessite	CuMg(CO3)(OH)2	Monoclinic	Approved	malachite	malachite			carbonates	carbonates and nitrates
Mckelveyite-(Nd)	NaCaBa3Nd(CO3)6?3H2O	Monoclinic	Approved		mckelveyite			carbonates	carbonates and nitrates
Mckelveyite-(Y)	NaBa3CaY(CO3)6·3H2O	Triclinic	Redefined		mckelveyite			carbonates	carbonates and nitrates
Mckinstryite	Ag5Cu3S4	Orthorhombic	Approved		mckinstryite			sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Mcnearite	NaCa5(AsO4)(As5+O3OH)4·4H2O	Triclinic	Approved		mcnearite			arsenates	phosphates, arsenates, vanadates
Medaite	Mn2+6V5+Si5O18(OH)	Monoclinic	Approved		medaite			sorosilicates	"silicates 
[cluster]"
Medenbachite	Bi3+2Fe3+(Cu2+,Fe3+)(AsO4)2(OH,O)4	Triclinic	Approved		medenbachite			arsenates	phosphates, arsenates, vanadates
Medvedevite	KMn2+V5+2O6Cl?2H2O	Monoclinic	Approved		rossite	hewettite		inovanadates	oxides
Meerschautite	(Ag,Cu)5.5Pb42.4(Sb,As)45.1S112O0.8	Monoclinic	Approved		kobellite	kobellite	copper	sulfosalts	sulfides and sulfosalts
Megacyclite	KNa8Si9O17(OH)9O·19H2O	Monoclinic	Approved		megacyclite			cyclosilicates	"silicates 
[cluster]"
Megakalsilite	KAlSiO4	Hexagonal	Approved		megakalsilite	kalsilite		tektosilicates	"silicates 
[framework]"
Megawite	CaSnO3	Orthorhombic	Approved	perovskite	single perovskites ABX3	perovskite	copper	oxyhalides	oxides
Meieranite	Na2Sr3MgSi6O17	Orthorhombic	Approved		meieranite	nordite		inosilicates	"silicates 
[chain-ribbon]"
Meierite	Ba44Si66Al30O192Cl25(OH)33	Cubic	Approved		meierite	zeolite		tektosilicates	"silicates 
[framework]"
Meifuite	KFe2+6(Si7Al)O19(OH)4Cl2	Triclinic	Approved		talc	dioctahedral talc		phyllosilicates	"silicates 
[sheet]"
Meionite	(Ca,Na)4(Si,Al)12O24[(CO3),(SO4),Cl]	Tetragonal	Grandfathered		scapolite			tektosilicates	"silicates 
[framework]"
Meisserite	Na5(UO2)(SO4)3(SO3OH)(H2O)	Triclinic	Approved		meisserite	meisserite		uranyl sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Meitnerite	(NH4)(UO2)(SO4)(OH)·2H2O	Triclinic	Approved		johannite			uranyl sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Meixnerite	Mg6Al2(OH)2(OH)16·4H2O	Trigonal	Approved		hydrotalcite	hydrotalcite		hydroxides	oxides
Mejillonesite	NaMg2(PO3OH)(PO4)(OH)·(H3O+H2O)	Orthorhombic	Approved		ludlamite	ludlamite		phosphates	phosphates, arsenates, vanadates
Melanarsite	K3Cu7Fe3+O4(AsO4)4	Monoclinic	Approved		melanarsite			arsenates	phosphates, arsenates, vanadates
Melanocerite-(Ce)	(Ce,Ca)5(Si,B)3O12[(OH),F]·nH2O	Hexagonal	Questionable		britholite	apatite		nesosilicates	"silicates 
[cluster]"
Melanophlogite	C2H17O15·Si46O92	Tetragonal	Redefined		melanophlogite			silica clathrates	oxides
Melanostibite	Mn2+(Fe3+0.5Sb5+0.5)O3	Trigonal	Approved		ilmenite	hematite	copper		oxides
Melanotekite	Pb2(Fe3+,Mn3+)2(Si2O7)O2	Orthorhombic	Grandfathered		melanotekite			sorosilicates	"silicates 
[cluster]"
Melanothallite	Cu2+2OCl2	Orthorhombic	Grandfathered		melanothallite		copper	oxyhalides, hydroxyhalides	halides
Melanovanadite	Ca[V5+2V4+2O10]·5H2O	Triclinic	Grandfathered		melanovanadite	hewettite		"phyllo
vanadates"	oxides
Melansonite	Na?KZrSi8O19·5H2O	Orthorhombic	Approved		rhodesite	mountainite		phyllosilicates	"silicates 
[sheet]"
Melanterite	Fe2+(H2O)6(SO4)·H2O	Monoclinic	Grandfathered		melanterite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Melcherite	(Ba2Na2)Mg[Nb6O19]·6H2O	Trigonal	Approved		melcherite			niobates	oxides
Meliphanite	Ca4Na4Si6(Be8Si8)O48F8	Tetragonal	Grandfathered		meliphanite	melilite		inosilicates	"silicates 
[chain-ribbon]"
Melkovite	[Ca2(H2O)15Ca(H2O)6][Mo6+8P5+2Fe3+3O36(OH)]	Monoclinic	Approved		mendozavilite	betpakdalite		"hetero
polymolybdates, arsenates, vanadates"	phosphates, arsenates, vanadates
Melliniite	Ni4P	Cubic	Approved		melliniite		copper	metal carbides, silicides, nitrides and phosphides	elements
Mellite	Al2[C6(COO)6]·16H2O	Tetragonal	Grandfathered		mellite			salts of organic acids	organic compounds
Mellizinkalite	K3Zn2Cl7	Triclinic	Approved		mellizinkalite	flinteite		chlorohalides	halides
Melonite	NiTe2	Trigonal	Grandfathered		melonite	brucite		sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Mélonjosephite	CaFe2+Fe3+(PO4)2(OH)	Orthorhombic	Approved		mélonjosephite			phosphates	phosphates, arsenates, vanadates
Menchettiite	AgPb2.4Mn2+1.6(Sb3As2)S12	Monoclinic	Approved		andorite	lillianite	copper	sulfosalts	sulfides and sulfosalts
Mendeleevite-(Ce)	(Cs,?)6(?,Cs)6(?,K)6(Ce,La,Ca,Nd,Pr,Sr,?)30(Si70O175)(OH,F,?)14(H2O)21	Cubic	Approved		mendeleevite				silicates
Mendeleevite-(Nd)	(Cs,?)6(?,Cs)6(?,K)6(Nd,Ca,Ce,Sm,La,Pr,Gd,Eu)30(Si70O175)(OH,F)19(H2O)16	Cubic	Approved		mendeleevite				silicates
Mendigite	Mn2+2Mn2+2Mn2+Ca(Si3O9)2	Triclinic	Approved		bustamite		3 chains pyroxenoid	inosilicates	"silicates 
[chain-ribbon]"
Mendipite	Pb3O2Cl2	Orthorhombic	Grandfathered		mendipite		copper	oxyhalides, hydroxyhalides	halides
Mendozavilite-KCa	[K2(H2O)15Ca(H2O)6][Mo6+8P5+2Fe3+3O34(OH)3]	Monoclinic	Approved		mendozavilite	betpakdalite		"hetero
polymolybdates, arsenates, vanadates"	phosphates, arsenates, vanadates
Mendozavilite-NaCu	[Na2(H2O)15Cu2+(H2O)6][Mo6+8P5+2Fe3+3O34(OH)3]	Monoclinic	Approved		mendozavilite	betpakdalite		"hetero
polymolybdates, arsenates, vanadates"	phosphates, arsenates, vanadates
Mendozavilite-NaFe	[Na2(H2O)15Fe3+(H2O)6][Mo6+8P5+2Fe3+3O35(OH)2]	Monoclinic	Redefined		mendozavilite	betpakdalite		"hetero
polymolybdates, arsenates, vanadates"	phosphates, arsenates, vanadates
Mendozite	NaAl(SO4)2·11H2O	Monoclinic	Grandfathered		kalinite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Meneghinite	CuPb13Sb7S24	Orthorhombic	Grandfathered		meneghinite	stibnite		sulfosalts	sulfides and sulfosalts
Menezesite	(?10Ba2)S=12(?2Mg)S=3(Zr3Ti)S=4{Ba[Nb9(Ti,Ta)3]S=12O42}·12H2O	Cubic	Approved		menezesite			niobates	oxides
Mengeite	Ba(Mg,Mn2+)Mn3+4(PO4)4(OH)4·4H2O	Triclinic	Approved	whitmoreite	arthurite	hureaulite		phosphates	phosphates, arsenates, vanadates
Mengxianminite	Ca2Mg3Al8Be2Sn2[BO3]2O20	Orthorhombic	Approved		mengxianminite	högbomite	copper	hydroxides	borates
Meniaylovite	Ca4[AlSi](SO4)F13·12H2O	Cubic	Approved		chukhrovite		copper	complex halides	halides
Menshikovite	Pd3Ni2As3	Hexagonal	Approved		stibiopalladinite		copper	metal / metalloids alloys	sulfides and sulfosalts
Menzerite-(Y)	{Y2Ca}[Mg2](Si3)O12	Cubic	Approved		garnet	garnet		nesosilicates	"silicates 
[cluster]"
Mercallite	KH(SO4)	Orthorhombic	Grandfathered		mercallite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Mercury	Hg	Trigonal	Grandfathered		mercury	copper	copper	metals and intermetallic alloys	elements
Mereheadite	Pb47O24(OH)13Cl25(BO3)2(CO3)	Monoclinic	Redefined		blixite		copper	oxyhalides, hydroxyhalides	halides
Mereiterite	K2Fe2+(SO4)2·4H2O	Monoclinic	Approved		leonite	blödite		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Merelaniite	Pb4Mo4VSbS15	Triclinic	Approved		cylindrite		copper	sulfosalts	sulfides and sulfosalts
Merenskyite	PdTe2	Trigonal	Approved		melonite	brucite		sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Meridianiite	Mg(SO4)·11H2O	Triclinic	Approved		meridianiite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Merlinoite	K5-6Ca2[Al9-10Si22-23O64]·20-24H2O	Orthorhombic	Approved		phillipsite	zeolite		tektosilicates	"silicates 
[framework]"
Merrihueite	Fe2+(Na?)KFe2+3[Si12O30]	Hexagonal	Approved		milarite			cyclosilicates	"silicates 
[cluster]"
Merrillite	Ca9NaMg(PO4)7?	Trigonal	Redefined	merrillite	merrillite	cerite	copper	phosphates	phosphates, arsenates, vanadates
Mertieite	Pd8(Sb2.5As0.5)S=3	Trigonal	Renamed		mertieite	diamond	copper	metal / metalloids alloys	sulfides and sulfosalts
Merwinite	CaCa2Mg(SiO4)2	Monoclinic	Grandfathered		larnite	mascagnite		nesosilicates	"silicates 
[cluster]"
Mesaite	CaMn2+5(V2O7)3·12H2O	Monoclinic	Approved		mesaite	fianelite		polyphosphates, polyarsenates, polyvanadates	phosphates, arsenates, vanadates
Mesolite	Na16Ca16[Al48Si72O240]·64H2O	Orthorhombic	Approved		natrolite	zeolite		tektosilicates	"silicates 
[framework]"
Messelite	Ca2Fe2+(PO4)2·2H2O	Triclinic	Grandfathered	fairfieldite	roselite	vauquelinite		phosphates	phosphates, arsenates, vanadates
Meta-aluminite	Al2(SO4)(OH)4·5H2O	Monoclinic	Approved		aluminite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Meta-alunogen	Al2(SO4)3(H2O)12·2H2O	Triclinic	Questionable		alunogen			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Meta-ankoleite	K2[(UO2)(PO4)]2·6H2O	Tetragonal	Approved	meta-autunite	meta-autunite			uranyl phosphates	phosphates, arsenates, vanadates
Meta-autunite	Ca[(UO2)(PO4)]2·6-8H2O	Tetragonal	Grandfathered	meta-autunite	meta-autunite			uranyl phosphates	phosphates, arsenates, vanadates
Metaborite	H(BO2)	Cubic	Approved		metaborite			heptaborates and other megaborates	borates
Metacalciouranoite	Ca[(UO2)2O3]·2H2O	Orthorhombic	Approved		bauranoite			uranyl hydroxides	oxides
Metacinnabar	Hg1?xS	Cubic	Grandfathered		sphalerite	diamond	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	oxides
Metadelrioite	Sr[(V5+O3)2(OH)2]	Triclinic	Approved		rossite	hewettite		inovanadates	oxides
Metahaiweeite	Ca[(U6+O2)2(Si2O5)3]·nH2O          (n < 5)	Monoclinic	Questionable		metahaiweeite			uranyl nesosilicates	silicates
Metaheinrichite	Ba(UO2)2(AsO4)2·8H2O	Tetragonal	Grandfathered	metatorbernite	meta-autunite			uranyl arsenates	phosphates, arsenates, vanadates
Metahewettite	CaV5+6O16·3H2O	Monoclinic	Grandfathered		metahewettite	hewettite		"phyllo
vanadates"	oxides
Metahohmannite	Fe3+2(SO4)2(OH)2·4H2O	Triclinic	Grandfathered		amarantite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Metakahlerite	Fe2+(UO2)2(AsO4)2·8H2O	Tetragonal	Grandfathered		trögerite			uranyl arsenates	phosphates, arsenates, vanadates
Metakirchheimerite	Co(UO2)2(AsO4)2·8H2O	Triclinic	Grandfathered	metatorbernite	meta-autunite			uranyl arsenates	phosphates, arsenates, vanadates
Metaköttigite	ZnZn2(AsO4)2·8H2O	Triclinic	Approved		metavivianite			arsenates	phosphates, arsenates, vanadates
Metalodèvite	Zn(UO2)2(AsO4)2·10H2O	Tetragonal	Redefined	metazeunerite	meta-autunite			uranyl arsenates	phosphates, arsenates, vanadates
Metamunirite	Na(V5+O3)	Orthorhombic	Approved		rossite	hewettite		inovanadates	oxides
Metanatroautunite	Na2(UO2)2(PO4)2·3H2O	Tetragonal	Renamed	meta-autunite	meta-autunite			uranyl phosphates	phosphates, arsenates, vanadates
Metanová?ekite	Mg(UO2)2(AsO4)2·8H2O	Monoclinic	Renamed		trögerite			uranyl arsenates	phosphates, arsenates, vanadates
Metarauchite	Ni(UO2)2(AsO4)2·8H2O	Triclinic	Approved		trögerite			uranyl arsenates	phosphates, arsenates, vanadates
Metarossite	Ca(V5+O3)2·2H2O	Triclinic	Grandfathered		rossite	hewettite		inovanadates	oxides
Metasaléeite	Mg[(UO2)(PO4)]2·8H2O	Tetragonal	Grandfathered	metatorbernite	meta-autunite			uranyl phosphates	phosphates, arsenates, vanadates
Metaschoderite	Al2(PO4)(VO4)·6H2O	Monoclinic	Approved		metaschoderite			phosphates	phosphates, arsenates, vanadates
Metaschoepite	[(U6+O2)4O(OH)6]·5H2O	Orthorhombic	Grandfathered		schoepite			uranyl hydroxides	oxides
Metasideronatrite	Na2Fe3+[(SO4)2(OH)]·H2O	Orthorhombic	Grandfathered		sideronatrite	sideronatrite		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Metastibnite	Sb2S3	Not crystalline	Grandfathered		stibnite	stibnite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Metastudtite	[(UO2)O2(H2O)2]	Orthorhombic	Approved		studtite			uranyl hydroxides	oxides
Metaswitzerite	Mn2+3(PO4)2·4H2O	Monoclinic	Redefined		ludlamite	ludlamite		phosphates	phosphates, arsenates, vanadates
Metatamboite	Fe3+3(OH)(H2O)2(SO4)(Te4+O3)3[Te4+O(OH)2](H2O)	Monoclinic	Approved		tamboite	poughite		arsenites, antimonites, bismuthites, sulfites, selenites, tellurites	oxides
Metathénardite	NaNaNaNa(SO4)2	Trigonal	Approved		aphthitalite	aphthitalite		sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Metatorbernite	Cu2+[(UO2)(PO4)]2·8H2O	Tetragonal	Grandfathered	metatorbernite	meta-autunite			uranyl phosphates	phosphates, arsenates, vanadates
Metatyuyamunite	Ca(U6+O2)2(V5+O4)2·3H2O	Orthorhombic	Grandfathered		fritzscheite	carnotite		uranyl sorovanadates	oxides
Metauramphite	(NH4)2(UO2)2(PO4)2·6H2O	Tetragonal	Questionable	metatorbernite	meta-autunite			uranyl phosphates	phosphates, arsenates, vanadates
Metauranocircite	Ba[(UO2)(PO4)]2·8H2O	Monoclinic	Renamed	metatorbernite	meta-autunite			uranyl phosphates	phosphates, arsenates, vanadates
Metauranopilite	[(U6+O2)6(SO4)O2(OH)6(H2O)6]·5H2O	Orthorhombic	Renamed		uranopilite			uranyl sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Metauranospinite	Ca(UO2)2(AsO4)2·8H2O	Tetragonal	Renamed		trögerite			uranyl arsenates	phosphates, arsenates, vanadates
Metauroxite	(UO2)2(C2O4)(OH)2(H2O)2	Triclinic	Approved		uroxite			salts of organic acids	organic compounds
Metavandendriesscheite	Pb[(U6+O2)7O8]·nH2O          (n < 12)	Orthorhombic	Grandfathered		vandendriesscheite	becquerelite		uranyl hydroxides	oxides
Metavanmeersscheite	U6+(UO2)3(OH)2(PO4)2(OH)4·2H2O	Orthorhombic	Renamed		"meta
vanmeersscheite"	phosphuranylite		uranyl phosphates	phosphates, arsenates, vanadates
Metavanuralite	Al(UO2)2(V5+O4)2(OH)·8H2O	Triclinic	Approved		sengierite	carnotite		uranyl sorovanadates	oxides
Metavariscite	Al(PO4)·2H2O	Monoclinic	Approved		metavariscite			phosphates	phosphates, arsenates, vanadates
Metavauxite	[Fe2+(H2O)6][Al2(PO4)2(OH)2(H2O)2]	Monoclinic	Grandfathered		metavauxite			phosphates	phosphates, arsenates, vanadates
Metavivianite	Fe2+(H2O)4[Fe3+2(PO4)2(OH)2(H2O)2]	Triclinic	Redefined		metavivianite			phosphates	phosphates, arsenates, vanadates
Metavoltine	Na6K2Fe2+[Fe3+3O(SO4)6(H2O)3]2·12H2O	Trigonal	Grandfathered		metavoltine			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Metazellerite	Ca(UO2)(CO3)2·3H2O	Orthorhombic	Approved		zellerite	zellerite		uranyl carbonates	carbonates and nitrates
Metazeunerite	Cu[(UO2)(AsO4)]2·8H2O	Tetragonal	Grandfathered	metazeunerite	meta-autinite			uranyl arsenates	phosphates, arsenates, vanadates
Meurigite-K	[K(H2O)2.5][Fe3+8(PO4)6(OH)7(H2O)4]	Monoclinic	Renamed		meurigite	dufrénite		phosphates	phosphates, arsenates, vanadates
Meurigite-Na	[Na(H2O)2.5][Fe3+8(PO4)6(OH)7(H2O)4] 	Monoclinic	Approved		meurigite	dufrénite		phosphates	phosphates, arsenates, vanadates
